Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),GPU0_MEMORY_TOTAL,GPU0_MEMORY_USED,GPU0_POWER (mWatts),GPU0_TEMPERATURE,GPU0_USAGE,PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1774612155219,1406,1406,1406,1406,1406,1406,1406,1406,1406,1406,1406,1406,1406,1406,1406,1406,8.108107566833496,2.702702760696411,2.777777910232544,2.702702760696411,5.405405521392822,2.702702760696411,5.405405521392822,2.777777910232544,2.702702760696411,2.777777910232544,2.777777910232544,0,2.777777910232544,2.702702760696411,2.702702760696411,0,0,8192,4240,66726,66,0,65372.21533203125,42538.680725097656,1629.2716064453125,33293438976,8589930496,5182955520,1076285440
200,1774612155220,1406,1406,1406,1406,1406,1406,1406,1406,1406,1406,1406,1406,1406,1406,1406,1406,8.108107566833496,2.702702760696411,2.777777910232544,2.702702760696411,5.405405521392822,2.702702760696411,5.405405521392822,2.777777910232544,2.702702760696411,2.777777910232544,2.777777910232544,0,2.777777910232544,2.702702760696411,2.702702760696411,0,0,8192,4240,66726,66,0,65372.48278808594,42538.828063964844,1629.2716064453125,33293438976,8589930496,5187801088,1076285440
200,1774612155420,1406,1406,1406,1406,1406,1406,1406,1406,1406,1406,1406,1406,1406,1406,1406,1406,20.833332061767578,0,0,0,0,0,0,0,0,91.66667175292969,0,0,0,0,0,0,0,8192,4240,57321,65,0,65374.60986328125,42539.98474121094,1629.2720947265625,33293438976,8589930496,5211324416,1076285440
200,1774612155620,1406,1406,1406,1406,1406,1406,1406,1406,1406,1406,1406,1406,1406,1406,1406,1406,15.789472579956055,5.263157844543457,5,80.95238494873047,0,0,0,0,0,5,4.761904716491699,0,5,0,0,5,0,8192,4240,47932,65,0,65376.88000488281,42541.29748535156,1629.2720947265625,33293438976,8589930496,5198073856,1076281344
200,1774612155820,1406,1406,1406,1406,1406,1406,1406,1406,1406,1406,1406,1406,1406,1406,1406,1406,30.000001907348633,10,10,5,0,4.761904716491699,0,0,61.904762268066406,9.523809432983398,0,4.761904716491699,5,0,4.761904716491699,0,0,8192,4240,38346,65,0,65379.098571777344,42542.56408691406,1629.2760009765625,33293438976,8589930496,5232881664,1076277248
200,1774612156020,1406,1406,1406,1406,1406,1406,1406,1406,1406,1406,1406,1406,1406,1406,1406,1406,52.6315803527832,10.526315689086914,0,0,0,0,0,0,0,0,0,0,40,5,0,5,0,8192,4240,33293,65,0,65381.32196044922,42543.848388671875,1629.2764892578125,33293438976,8589930496,5253554176,1076260864
200,1774612156220,1406,1406,1406,1406,1406,1406,1406,1406,1406,1406,1406,1406,1406,1406,1406,1406,4.761904716491699,13.636363983154297,0,5,0,4.761904716491699,0,5,60.000003814697266,0,30.000001907348633,0,0,5,0,4.761904716491699,0,8192,4240,33166,65,0,65383.51623535156,42545.085693359375,1629.2764892578125,33293438976,8589930496,5389815808,1076260864
199,1774612156420,1406,1406,1406,1406,1406,1406,1406,1406,1406,1406,1406,1406,1406,1406,1406,1406,5,5.263157844543457,0,0,0,42.105262756347656,5,5.263157844543457,10,0,0,0,42.85714340209961,0,0,10,0,8192,4240,33081,65,0,65385.699768066406,42546.322509765625,1629.2764892578125,33293438976,8589930496,5476200448,1076260864
199,1774612156620,1406,1406,1406,1406,1406,1406,1406,1406,1406,1406,1406,1406,1406,1406,1406,1406,10,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,8192,4415,33130,65,0,65387.72491455078,42547.39660644531,1629.2791748046875,33293438976,8589930496,5565751296,1076260864
200,1774612156821,1406,1406,1406,1406,1406,1406,1406,1406,1406,1406,1406,1406,1406,1406,1406,1406,5.263157844543457,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,8192,4433,32970,64,4,65389.74053955078,42548.465881347656,1629.2791748046875,33293438976,8589930496,5733498880,1076260864
200,1774612157021,1406,1406,1406,1406,1406,1406,1406,1406,1406,1406,1406,1406,1406,1406,1406,1406,10,0,0,0,0,4.761904716491699,25,0,0,0,4.761904716491699,4.761904716491699,65,0,14.285715103149414,0,0,8192,4433,32355,64,0,65391.75012207031,42549.51873779297,1629.2791748046875,33293438976,8589930496,5457358848,1076260864
199,1774612157221,1406,1406,1406,1406,1406,1406,1406,1406,1406,1406,1406,1406,1406,1406,1406,1406,14.285715103149414,0,0,0,0,0,47.619049072265625,0,0,0,0,0,0,0,0,0,0,8192,554,32014,64,52,65393.41564941406,42550.221130371094,1629.3109130859375,33293438976,8589930496,4698963968,1076260864
199,1774612157421,1406,1406,1406,1406,1406,1406,1406,1406,1406,1406,1406,1406,1406,1406,1406,1406,5.263157844543457,0,0,0,50,0,22.22222328186035,0,0,0,0,0,9.523809432983398,4.761904716491699,5,0,0,8192,554,32559,65,0,65395.57196044922,42551.39276123047,1629.3109130859375,33293438976,8589930496,4806406144,1076260864
200,1774612157621,1406,1406,1406,1406,1406,1406,1406,1406,1406,1406,1406,1406,1406,1406,1406,1406,10,28.571430206298828,0,0,0,25,47.619049072265625,4.761904716491699,10,5,0,4.761904716491699,0,0,5.263157844543457,14.285715103149414,0,8192,554,33813,65,0,65397.975830078125,42552.84747314453,1629.3109130859375,33293438976,8589930496,4726767616,1076260864
200,1774612157821,1406,1406,1406,1406,1406,1406,1406,1406,1406,1406,1406,1406,1406,1406,1406,1406,10,5,35,13.636363983154297,0,0,5,10,0,0,9.523809432983398,0,5,30.000001907348633,10,40,0,8192,554,34786,65,0,65400.366943359375,42554.275390625,1629.3109130859375,33293438976,8589930496,4700610560,1076260864
200,1774612158021,1406,1406,1406,1406,1406,1406,1406,1406,1406,1406,1406,1406,1406,1406,1406,1406,5.263157844543457,0,5,0,0,20,0,0,4.761904716491699,0,0,0,0,0,0,78.94737243652344,0,8192,554,36560,65,0,65402.495056152344,42555.44177246094,1629.3109130859375,33293438976,8589930496,4799414272,1076260864
200,1774612158221,1406,1406,1406,1406,1406,1406,1406,1406,1406,1406,1406,1406,1406,1406,1406,1406,10,36.842105865478516,0,0,0,11.111111640930176,0,0,0,0,31.57894515991211,5,5.263157844543457,0,25,0,0,8192,6720,38349,65,0,65404.80847167969,42556.79650878906,1629.3109130859375,33293438976,8589930496,4736356352,1076260864
199,1774612158422,1406,1406,1406,1406,1406,1406,1406,1406,1406,1406,1406,1406,1406,1406,1406,1406,5,0,0,0,0,4.761904716491699,0,0,0,0,100,0,0,0,0,0,0,8192,7660,39583,65,0,65406.924865722656,42557.946716308594,1629.311767578125,33293438976,8589930496,4855721984,1076260864
199,1774612158622,1406,1406,1406,1406,1406,1406,1406,1406,1406,1406,1406,1406,1406,1406,1406,1406,75,63.15789031982422,57.142860412597656,57.894737243652344,50,52.38095474243164,57.894737243652344,52.6315803527832,60.000003814697266,57.894737243652344,60.000003814697266,47.36842346191406,61.904762268066406,54.54545593261719,55,50,0,8192,7664,39920,65,45,65412.11364746094,42561.73718261719,1629.311767578125,33293438976,8589930496,5819502592,1076260864
199,1774612158822,1406,1406,1406,1406,1406,1406,1406,1406,1406,1406,1406,1406,1406,1406,1406,1406,26.3157901763916,52.6315803527832,21.052631378173828,25,26.3157901763916,30.000001907348633,30.000001907348633,33.333335876464844,68.42105102539063,30.000001907348633,30.000001907348633,26.3157901763916,25,26.3157901763916,30.000001907348633,25,0,8192,7664,40775,65,85,65416.74230957031,42564.92431640625,1629.311767578125,33293438976,8589930496,6167142400,1076260864
199,1774612159022,1406,1406,1406,1406,1406,1406,1406,1406,1406,1406,1406,1406,1406,1406,1406,1406,26.3157901763916,16.666667938232422,15.789472579956055,25,26.3157901763916,22.22222328186035,30.000001907348633,26.3157901763916,100,21.052631378173828,25,25,25,25,28.571430206298828,26.3157901763916,0,8192,7664,41632,65,86,65421.370544433594,42568.105224609375,1629.311767578125,33293438976,8589930496,6505787392,1076260864
200,1774612159222,1406,1406,1406,1406,1406,1406,1406,1406,1406,1406,1406,1406,1406,1406,1406,1406,33.333335876464844,30.000001907348633,15.000000953674316,30.000001907348633,30.000001907348633,25,28.571430206298828,26.3157901763916,100,27.77777862548828,25,22.22222328186035,17.647058486938477,26.3157901763916,26.3157901763916,25,0,8192,7664,42474,65,86,65426.005920410156,42571.29852294922,1629.311767578125,33293438976,8589930496,6836031488,1076260864
200,1774612159422,1406,1406,1406,1406,1406,1406,1406,1406,1406,1406,1406,1406,1406,1406,1406,1406,9.523809432983398,5,0,0,0,0,0,9.523809432983398,100,5,0,4.761904716491699,5,4.761904716491699,0,0,0,8192,7664,42842,65,0,65428.44219970703,42572.706481933594,1629.311767578125,33293438976,8589930496,7200681984,1076260864
200,1774612159622,1406,1406,1406,1406,1406,1406,1406,1406,1406,1406,1406,1406,1406,1406,1406,1406,0,10,0,0,0,0,0,0,19.047618865966797,0,0,0,0,0,0,0,0,8192,7664,42710,65,0,65429.90515136719,42573.191345214844,1629.3675537109375,33293438976,8589930496,7250223104,1076260864
200,1774612159822,1406,1406,1406,1406,1406,1406,1406,1406,1406,1406,1406,1406,1406,1406,1406,1406,0,10,0,0,0,61.904762268066406,4.761904716491699,0,0,4.761904716491699,0,10,0,0,0,0,0,8192,7666,44567,66,27,65431.86163330078,42574.21447753906,1629.3775634765625,33293438976,8589930496,7250223104,1076260864
199,1774612160022,1406,1406,1406,1406,1406,1406,1406,1406,1406,1406,1406,1406,1406,1406,1406,1406,10,10,0,10,10,100,10,10,30.000001907348633,25,20,30.000001907348633,20,20,20,0,0,8192,7676,50856,66,53,65435.17224121094,42576.438415527344,1629.3775634765625,33293438976,8589930496,7250595840,1076260864
199,1774612160222,1406,1406,1406,1406,1406,1406,1406,1406,1406,1406,1406,1406,1406,1406,1406,1406,45,20,5,20,5,100,9.523809432983398,0,45,25,42.105262756347656,45,28.571430206298828,45,5,5.263157844543457,0,8192,7676,58019,67,44,65439.116638183594,42579.216857910156,1629.3790283203125,33293438976,8589930496,7263117312,1076260864
