Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),GPU0_MEMORY_TOTAL,GPU0_MEMORY_USED,GPU0_POWER (mWatts),GPU0_TEMPERATURE,GPU0_USAGE,PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1774612373257,2496,2496,2496,2496,2496,2496,2496,2496,2496,2496,2496,2496,2496,2496,2496,2496,2.6315789222717285,2.702702760696411,5.263157844543457,2.702702760696411,2.6315789222717285,2.6315789222717285,5.263157844543457,5.405405521392822,0,2.702702760696411,2.702702760696411,0,5.263157844543457,2.702702760696411,2.6315789222717285,5.263157844543457,0,8192,7674,65818,70,0,69460.09051513672,45346.69958496094,1630.009033203125,33293438976,8589930496,7229812736,1071755264
200,1774612373257,2496,2496,2496,2496,2496,2496,2496,2496,2496,2496,2496,2496,2496,2496,2496,2496,2.6315789222717285,2.702702760696411,5.263157844543457,2.702702760696411,2.6315789222717285,2.6315789222717285,5.263157844543457,5.405405521392822,0,2.702702760696411,2.702702760696411,0,5.263157844543457,2.702702760696411,2.6315789222717285,5.263157844543457,0,8192,7674,65818,70,0,69460.36834716797,45346.852111816406,1630.009033203125,33293438976,8589930496,7229812736,1071755264
200,1774612373457,2496,2496,2496,2496,2496,2496,2496,2496,2496,2496,2496,2496,2496,2496,2496,2496,41.666664123535156,0,0,0,0,0,0,23.076923370361328,0,0,0,0,0,0,50,0,0,8192,7674,59191,70,0,69462.56378173828,45348.03643798828,1630.0135498046875,33293438976,8589930496,7250337792,1071755264
200,1774612373657,2496,2496,2496,2496,2496,2496,2496,2496,2496,2496,2496,2496,2496,2496,2496,2496,5,5.263157844543457,5,5,4.761904716491699,5,0,0,9.523809432983398,0,4.761904716491699,80.95238494873047,4.761904716491699,15.000000953674316,0,0,0,8192,7674,52012,70,0,69464.98114013672,45349.45324707031,1630.0164794921875,33293438976,8589930496,7230431232,1071570944
199,1774612373858,2496,2496,2496,2496,2496,2496,2496,2496,2496,2496,2496,2496,2496,2496,2496,2496,0,50,0,0,0,0,0,0,0,4.761904716491699,0,0,0,57.894737243652344,0,0,0,8192,7676,45293,70,4,69467.20971679688,45350.70684814453,1630.0164794921875,33293438976,8589930496,7230648320,1071566848
200,1774612374058,2496,2496,2496,2496,2496,2496,2496,2496,2496,2496,2496,2496,2496,2496,2496,2496,20,95,19.047618865966797,25,0,15.000000953674316,26.3157901763916,40,10,0,0,10,0,0,10,35,0,8192,7676,50829,71,75,69470.45617675781,45352.831298828125,1630.0177001953125,33293438976,8589930496,7231422464,1071566848
200,1774612374258,2496,2496,2496,2496,2496,2496,2496,2496,2496,2496,2496,2496,2496,2496,2496,2496,25,33.333335876464844,15.789472579956055,30.000001907348633,0,30.000001907348633,95,10,26.3157901763916,20,0,15.789472579956055,40,45,25,38.095237731933594,0,8192,7676,57352,71,48,69474.51965332031,45355.67590332031,1630.0177001953125,33293438976,8589930496,7231795200,1071566848
199,1774612374458,2496,2496,2496,2496,2496,2496,2496,2496,2496,2496,2496,2496,2496,2496,2496,2496,42.105262756347656,42.105262756347656,10,0,10,15.000000953674316,100,36.842105865478516,35,42.105262756347656,0,28.571430206298828,47.36842346191406,10,0,0,0,8192,7676,64097,72,42,69478.4291381836,45358.383056640625,1630.0177001953125,33293438976,8589930496,7228678144,1071566848
199,1774612374658,2496,2496,2496,2496,2496,2496,2496,2496,2496,2496,2496,2496,2496,2496,2496,2496,65,25,21.052631378173828,5,15.000000953674316,45,25,65,23.809524536132813,15.000000953674316,42.85714340209961,0,20,40,15.000000953674316,20,0,8192,7676,75347,72,44,69482.53515625,45361.21600341797,1630.0235595703125,33293438976,8589930496,7214948352,1071566848
199,1774612374858,2496,2496,2496,2496,2496,2496,2496,2496,2496,2496,2496,2496,2496,2496,2496,2496,47.36842346191406,42.105262756347656,20,0,10,90,35,0,21.052631378173828,0,50,28.571430206298828,5,45,25,0,0,8192,7676,81991,72,50,69486.50421142578,45363.95568847656,1630.0235595703125,33293438976,8589930496,7220224000,1071566848
