Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),GPU0_MEMORY_TOTAL,GPU0_MEMORY_USED,GPU0_POWER (mWatts),GPU0_TEMPERATURE,GPU0_USAGE,PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1774612281146,997,997,997,997,997,997,997,997,997,997,997,997,997,997,997,997,2.941176414489746,3.0303030014038086,5.714285850524902,2.941176414489746,2.941176414489746,2.941176414489746,2.941176414489746,0,2.941176414489746,5.555555820465088,0,0,2.941176414489746,2.941176414489746,5.882352828979492,11.764705657958984,0,8192,7674,65702,69,0,67644.29992675781,44085.67053222656,1629.9144287109375,33293438976,8589930496,7125192704,1076129792
200,1774612281146,997,997,997,997,997,997,997,997,997,997,997,997,997,997,997,997,2.941176414489746,3.0303030014038086,5.714285850524902,2.941176414489746,2.941176414489746,2.941176414489746,2.941176414489746,0,2.941176414489746,5.555555820465088,0,0,2.941176414489746,2.941176414489746,5.882352828979492,11.764705657958984,0,8192,7674,65702,69,0,67644.56622314453,44085.819396972656,1629.9144287109375,33293438976,8589930496,7125192704,1076129792
200,1774612281346,997,997,997,997,997,997,997,997,997,997,997,997,997,997,997,997,0,0,0,0,0,0,62.5,0,0,0,0,4,32,0,0,17.39130401611328,0,8192,7674,58430,69,0,67646.78442382813,44087.035400390625,1629.9193115234375,33293438976,8589930496,7138824192,1076129792
200,1774612281547,997,997,997,997,997,997,997,997,997,997,997,997,997,997,997,997,5,5,5,5,90.47618865966797,5,4.761904716491699,4.761904716491699,4.761904716491699,0,5,0,10,5,5,9.523809432983398,0,8192,7674,51653,68,0,67649.1669921875,44088.451110839844,1629.9193115234375,33293438976,8589930496,7142178816,1076129792
200,1774612281747,997,997,997,997,997,997,997,997,997,997,997,997,997,997,997,997,4.761904716491699,0,0,20,55,4.761904716491699,0,5,0,0,30.000001907348633,5,0,4.761904716491699,0,10,0,8192,7674,45892,70,21,67651.4712524414,44089.782287597656,1629.92041015625,33293438976,8589930496,7176781824,1075982336
200,1774612281947,997,997,997,997,997,997,997,997,997,997,997,997,997,997,997,997,15.789472579956055,26.3157901763916,0,10,36.842105865478516,0,0,36.842105865478516,38.095237731933594,28.571430206298828,100,0,36.842105865478516,0,20,20,0,8192,7674,50911,70,53,67655.11712646484,44092.271057128906,1629.9219970703125,33293438976,8589930496,7176781824,1075982336
200,1774612282147,997,997,997,997,997,997,997,997,997,997,997,997,997,997,997,997,45,38.095237731933594,10,5,45,10,60.000003814697266,52.38095474243164,36.842105865478516,36.842105865478516,60.000003814697266,0,28.571430206298828,0,4.761904716491699,5.263157844543457,0,8192,7674,57793,71,59,67659.14947509766,44095.08184814453,1629.9219970703125,33293438976,8589930496,7178846208,1075982336
199,1774612282347,997,997,997,997,997,997,997,997,997,997,997,997,997,997,997,997,50,36.842105865478516,33.333335876464844,55,47.619049072265625,10.526315689086914,33.333335876464844,30.000001907348633,25,0,35,0,63.15789031982422,36.842105865478516,0,14.285715103149414,0,8192,7674,64978,71,58,67663.2543334961,44097.98419189453,1629.9219970703125,33293438976,8589930496,7172509696,1075982336
200,1774612282547,997,997,997,997,997,997,997,997,997,997,997,997,997,997,997,997,45,35,45,26.3157901763916,36.842105865478516,5,45,0,0,20,9.523809432983398,0,100,45,0,15.000000953674316,0,8192,7674,71964,71,53,67667.3173828125,44100.83135986328,1629.9224853515625,33293438976,8589930496,7156510720,1075982336
200,1774612282747,997,997,997,997,997,997,997,997,997,997,997,997,997,997,997,997,0,45,0,38.095237731933594,47.619049072265625,10,45,35,45,14.285715103149414,0,0,100,10,45,0,0,8192,7674,78634,71,48,67671.3384399414,44103.64337158203,1629.9224853515625,33293438976,8589930496,7181643776,1075982336
199,1774612282947,997,997,997,997,997,997,997,997,997,997,997,997,997,997,997,997,36.842105865478516,40,0,10,35,20,36.842105865478516,20,36.842105865478516,25,0,10,40,0,55,10,0,8192,7674,80305,71,41,67675.1146850586,44106.24963378906,1629.9224853515625,33293438976,8589930496,7181787136,1075982336
199,1774612283147,997,997,997,997,997,997,997,997,997,997,997,997,997,997,997,997,35,30.000001907348633,0,0,40,26.3157901763916,45,100,45,47.36842346191406,10,15.789472579956055,0,0,21.052631378173828,15.789472579956055,0,8192,7674,80967,71,60,67679.30767822266,44109.224060058594,1629.925048828125,33293438976,8589930496,7186886656,1075982336
