Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),GPU0_MEMORY_TOTAL,GPU0_MEMORY_USED,GPU0_POWER (mWatts),GPU0_TEMPERATURE,GPU0_USAGE,PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1774612415135,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,10.810811042785645,0,2.702702760696411,5.263157844543457,5.263157844543457,2.702702760696411,2.777777910232544,0,2.702702760696411,2.702702760696411,2.702702760696411,2.702702760696411,5.263157844543457,0,2.777777910232544,2.702702760696411,0,8192,4240,61679,68,0,70100.35064697266,45758.44128417969,1630.3758544921875,33293438976,8589930496,5191245824,1071501312
200,1774612415135,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,10.810811042785645,0,2.702702760696411,5.263157844543457,5.263157844543457,2.702702760696411,2.777777910232544,0,2.702702760696411,2.702702760696411,2.702702760696411,2.702702760696411,5.263157844543457,0,2.777777910232544,2.702702760696411,0,8192,4240,61679,68,0,70100.61126708984,45758.595458984375,1630.3758544921875,33293438976,8589930496,5191245824,1071501312
200,1774612415335,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,20.833332061767578,0,0,0,0,0,0,0,0,0,0,0,0,91.66667175292969,0,0,0,8192,4240,53803,68,0,70102.70220947266,45759.75085449219,1630.37841796875,33293438976,8589930496,5192237056,1071501312
200,1774612415535,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,10,0,0,0,0,0,0,0,0,55,0,0,40,14.285715103149414,0,0,0,8192,4240,45775,68,0,70104.9605102539,45761.04296875,1630.37841796875,33293438976,8589930496,5175709696,1071497216
200,1774612415735,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,5.263157844543457,5,4.761904716491699,4.761904716491699,0,31.57894515991211,0,23.809524536132813,0,0,0,5,45,4.761904716491699,0,14.285715103149414,0,8192,4240,41002,68,0,70107.22119140625,45762.32977294922,1630.3812255859375,33293438976,8589930496,5190475776,1071497216
199,1774612415935,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,14.285715103149414,0,5,0,0,61.904762268066406,4.761904716491699,0,30.000001907348633,5,9.523809432983398,0,10,0,0,0,0,8192,4240,40898,68,0,70109.53057861328,45763.684020996094,1630.3812255859375,33293438976,8589930496,5200879616,1071497216
200,1774612416136,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,5.263157844543457,0,0,5,0,0,5,0,0,95,5,0,0,0,0,0,0,8192,4240,40879,67,0,70111.74389648438,45764.93005371094,1630.3812255859375,33293438976,8589930496,5339394048,1071497216
200,1774612416336,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,9.523809432983398,0,0,4.761904716491699,0,0,0,5,5,42.105262756347656,0,5,4.761904716491699,0,0,60.000003814697266,0,8192,4240,40838,67,0,70113.96984863281,45766.186584472656,1630.3829345703125,33293438976,8589930496,5414170624,1071497216
200,1774612416536,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,5.263157844543457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,8192,4415,40038,67,0,70116.00323486328,45767.25842285156,1630.3829345703125,33293438976,8589930496,5496545280,1071497216
200,1774612416736,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,100,0,8192,4433,38224,67,4,70118.05157470703,45768.33703613281,1630.3829345703125,33293438976,8589930496,5652525056,1071497216
