Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),GPU0_MEMORY_TOTAL,GPU0_MEMORY_USED,GPU0_POWER (mWatts),GPU0_TEMPERATURE,GPU0_USAGE,PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1774612194264,2499,2499,2499,2499,2499,2499,2499,2499,2499,2499,2499,2499,2499,2499,2499,2499,11.764705657958984,3.0303030014038086,5.882352828979492,3.0303030014038086,2.941176414489746,3.0303030014038086,5.882352828979492,0,2.941176414489746,2.941176414489746,2.941176414489746,3.0303030014038086,3.0303030014038086,3.0303030014038086,5.714285850524902,2.941176414489746,0,8192,4240,60329,66,0,65956.55200195313,42914.85095214844,1629.68212890625,33293438976,8589930496,5153026048,1076178944
200,1774612194264,2499,2499,2499,2499,2499,2499,2499,2499,2499,2499,2499,2499,2499,2499,2499,2499,11.764705657958984,3.0303030014038086,5.882352828979492,3.0303030014038086,2.941176414489746,3.0303030014038086,5.882352828979492,0,2.941176414489746,2.941176414489746,2.941176414489746,3.0303030014038086,3.0303030014038086,3.0303030014038086,5.714285850524902,2.941176414489746,0,8192,4240,60329,66,0,65956.79992675781,42915.00067138672,1629.68212890625,33293438976,8589930496,5153222656,1076178944
200,1774612194464,2499,2499,2499,2499,2499,2499,2499,2499,2499,2499,2499,2499,2499,2499,2499,2499,20,0,0,88.46153259277344,0,0,0,0,0,0,0,0,0,4,0,0,0,8192,4240,52419,66,0,65958.873046875,42916.147399902344,1629.68359375,33293438976,8589930496,5169291264,1076178944
200,1774612194665,2499,2499,2499,2499,2499,2499,2499,2499,2499,2499,2499,2499,2499,2499,2499,2499,5.263157844543457,4.761904716491699,0,47.36842346191406,4.761904716491699,55,0,4.761904716491699,4.761904716491699,0,0,4.761904716491699,4.761904716491699,0,0,5,0,8192,4240,44119,66,0,65961.12268066406,42917.45184326172,1629.68359375,33293438976,8589930496,5172572160,1076174848
200,1774612194865,2499,2499,2499,2499,2499,2499,2499,2499,2499,2499,2499,2499,2499,2499,2499,2499,15.000000953674316,0,0,45,0,4.761904716491699,0,0,0,4.761904716491699,15.789472579956055,5.263157844543457,0,0,0,30.000001907348633,0,8192,4240,40201,66,0,65963.34014892578,42918.71697998047,1629.690185546875,33293438976,8589930496,5205344256,1076174848
200,1774612195065,2499,2499,2499,2499,2499,2499,2499,2499,2499,2499,2499,2499,2499,2499,2499,2499,14.285715103149414,4.761904716491699,10,5,0,0,0,0,0,0,14.285715103149414,4.761904716491699,0,5,5,80,0,8192,4240,40109,66,0,65965.59497070313,42920.02673339844,1629.6907958984375,33293438976,8589930496,5206347776,1076174848
200,1774612195265,2499,2499,2499,2499,2499,2499,2499,2499,2499,2499,2499,2499,2499,2499,2499,2499,10,0,0,60.000003814697266,0,30.000001907348633,0,0,0,0,0,0,0,0,5,0,0,8192,4240,40073,66,0,65967.81982421875,42921.23278808594,1629.6907958984375,33293438976,8589930496,5334720512,1076174848
200,1774612195465,2499,2499,2499,2499,2499,2499,2499,2499,2499,2499,2499,2499,2499,2499,2499,2499,10,0,5,10,0,0,0,47.619049072265625,0,0,9.523809432983398,10,0,0,0,40,0,8192,4240,39998,65,0,65970.03051757813,42922.48864746094,1629.6907958984375,33293438976,8589930496,5416710144,1076174848
200,1774612195665,2499,2499,2499,2499,2499,2499,2499,2499,2499,2499,2499,2499,2499,2499,2499,2499,5.263157844543457,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,8192,4415,38354,65,1,65972.05261230469,42923.56091308594,1629.6907958984375,33293438976,8589930496,5490589696,1076174848
200,1774612195865,2499,2499,2499,2499,2499,2499,2499,2499,2499,2499,2499,2499,2499,2499,2499,2499,5.263157844543457,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,8192,4433,36520,64,4,65974.09741210938,42924.65808105469,1629.6907958984375,33293438976,8589930496,5659815936,1076174848
