strategy,mean_j,std_j,min_j,max_j,p25_j,median_j,p75_j
strategy1,8501.52535841484,631.778187249947,7560.15766376953,9090.97874659766,8363.17910872656,8412.26896890625,9081.04230407422
strategy2,3560.33858920078,279.202135025484,3209.98770679297,3943.66835415625,3397.47776332422,3565.4064821914,3685.15263953906
