Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),GPU0_MEMORY_TOTAL,GPU0_MEMORY_USED,GPU0_POWER (mWatts),GPU0_TEMPERATURE,GPU0_USAGE,PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1774612114343,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2.857142925262451,5.555555820465088,2.857142925262451,2.777777910232544,5.555555820465088,0,2.857142925262451,2.857142925262451,0,2.857142925262451,8.571429252624512,0,2.857142925262451,5.555555820465088,2.857142925262451,2.857142925262451,0,8192,7674,61159,66,0,64749.699462890625,42134.57507324219,1628.832275390625,33293438976,8589930496,7063498752,1078099968
200,1774612114343,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2.857142925262451,5.555555820465088,2.857142925262451,2.777777910232544,5.555555820465088,0,2.857142925262451,2.857142925262451,0,2.857142925262451,8.571429252624512,0,2.857142925262451,5.555555820465088,2.857142925262451,2.857142925262451,0,8192,7674,61159,66,0,64749.957580566406,42134.71844482422,1628.832275390625,33293438976,8589930496,7063498752,1078099968
200,1774612114543,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,0,91.30435180664063,0,4,0,0,0,0,0,0,24,0,0,0,0,0,0,8192,7674,53841,66,0,64752.13195800781,42135.904541015625,1628.83349609375,33293438976,8589930496,7079043072,1078099968
200,1774612114744,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,5,14.285715103149414,5,0,0,0,5,5,0,4.761904716491699,0,95,0,5,5,4.761904716491699,0,8192,7674,46583,66,0,64754.382873535156,42137.206787109375,1628.83349609375,33293438976,8589930496,7098548224,1077846016
200,1774612114944,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,0,0,0,5,0,0,10,5,0,0,30.000001907348633,0,0,0,65,0,0,8192,7676,40161,66,0,64756.610778808594,42138.487060546875,1628.83349609375,33293438976,8589930496,7140130816,1077456896
200,1774612115144,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,0,0,10,21.052631378173828,20,14.285715103149414,14.285715103149414,20,10,0,100,0,10,0,20,23.809524536132813,0,8192,7676,48771,67,81,64759.540588378906,42140.37860107422,1628.83349609375,33293438976,8589930496,7140130816,1077456896
200,1774612115344,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,45,0,42.105262756347656,35,45,15.789472579956055,10,45,0,10,100,26.3157901763916,0,0,0,42.105262756347656,0,8192,7676,55743,68,50,64763.432067871094,42143.103576660156,1628.83349609375,33293438976,8589930496,7140130816,1077456896
199,1774612115544,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,40,5.263157844543457,23.809524536132813,35,45,35,84.21052551269531,50,28.571430206298828,10,33.333335876464844,10,5,0,15.000000953674316,42.85714340209961,0,8192,7676,65581,68,55,64767.55859375,42146.044982910156,1628.83349609375,33293438976,8589930496,7141617664,1077456896
199,1774612115744,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,52.6315803527832,38.095237731933594,35,47.36842346191406,45,10,90.47618865966797,10.526315689086914,10,0,0,38.095237731933594,0,47.36842346191406,0,10,0,8192,7676,69979,69,60,64771.701904296875,42148.991760253906,1628.838134765625,33293438976,8589930496,7158923264,1077456896
199,1774612115944,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,80.95238494873047,47.36842346191406,0,38.095237731933594,45,45,0,50,45,10,0,0,0,28.571430206298828,40,0,0,8192,7676,81453,69,56,64775.681213378906,42151.78240966797,1628.838134765625,33293438976,8589930496,7159312384,1077456896
199,1774612116144,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,10.526315689086914,45,85,47.36842346191406,47.36842346191406,20,10,57.142860412597656,47.36842346191406,0,0,35,0,15.000000953674316,36.842105865478516,0,0,8192,7676,80258,68,47,64779.72412109375,42154.63623046875,1628.838134765625,33293438976,8589930496,7161118720,1077456896
200,1774612116345,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,35,40,52.6315803527832,15.000000953674316,35,35,5.263157844543457,20,10,28.571430206298828,10,90,0,26.3157901763916,10,5.263157844543457,0,8192,7676,80722,68,42,64783.654235839844,42157.38702392578,1628.8387451171875,33293438976,8589930496,7163179008,1077456896
200,1774612116545,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,45,21.052631378173828,20,20,45,47.619049072265625,15.000000953674316,20,30.000001907348633,50,0,84.21052551269531,0,33.333335876464844,0,20,0,8192,7676,80954,69,43,64787.664306640625,42160.215576171875,1628.8387451171875,33293438976,8589930496,7158284288,1077456896
200,1774612116745,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,42.105262756347656,42.85714340209961,40,40,45,47.36842346191406,10,30.000001907348633,0,5,0,95,0,10,4.761904716491699,0,0,8192,7676,81949,69,49,64791.59490966797,42162.94885253906,1628.8387451171875,33293438976,8589930496,7160520704,1077456896
199,1774612116945,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,28.571430206298828,45,45,45,25,45,20,0,0,0,19.047618865966797,100,30.000001907348633,5.263157844543457,20,0,0,8192,7676,80814,69,55,64795.54461669922,42165.73889160156,1628.8409423828125,33293438976,8589930496,7160520704,1077456896
200,1774612117145,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,30.000001907348633,15.789472579956055,60.000003814697266,30.000001907348633,0,47.36842346191406,14.285715103149414,0,14.285715103149414,15.789472579956055,47.36842346191406,75,35,10,25,30.000001907348633,0,8192,7676,80714,69,48,64799.58984375,42168.5908203125,1628.8409423828125,33293438976,8589930496,7156908032,1077456896
200,1774612117345,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,35,25,100,0,0,45.45454788208008,35,10,45,45,45,0,10,5,10,20,0,8192,7676,80803,69,42,64803.50079345703,42171.320739746094,1628.8409423828125,33293438976,8589930496,7157538816,1077456896
200,1774612117545,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,42.105262756347656,40,100,26.3157901763916,0,42.105262756347656,31.57894515991211,4.761904716491699,40,15.000000953674316,40,0,15.000000953674316,10,0,0,0,8192,7676,79782,69,46,64807.397216796875,42174.04284667969,1628.8416748046875,33293438976,8589930496,7149473792,1077456896
199,1774612117745,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,35,0,25,0,40,45,20,0,65,45,10,0,80,10,15.000000953674316,50,0,8192,7676,79178,68,54,64811.37145996094,42176.83825683594,1628.8416748046875,33293438976,8589930496,7132389376,1077456896
199,1774612117946,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,30.000001907348633,0,15.789472579956055,10,45,45,45,0,78.94737243652344,35,0,0,52.6315803527832,0,26.3157901763916,47.36842346191406,0,8192,7676,80649,69,60,64815.34930419922,42179.626892089844,1628.8416748046875,33293438976,8589930496,7149821952,1077456896
199,1774612118146,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,30.000001907348633,50,45,45,47.619049072265625,26.3157901763916,10,0,95,0,0,20,35,10,20,0,0,8192,7676,81288,69,56,64819.340087890625,42182.422790527344,1628.843017578125,33293438976,8589930496,7150567424,1077456896
200,1774612118346,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,5.263157844543457,45,35,42.85714340209961,36.842105865478516,38.095237731933594,26.3157901763916,5,0,0,90,0,10,0,35,0,0,8192,7676,80557,69,59,64822.981994628906,42184.92462158203,1628.843017578125,33293438976,8589930496,7148998656,1077456896
199,1774612118546,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,42.105262756347656,40,19.047618865966797,25,45,42.105262756347656,0,0,40,19.047618865966797,100,4.761904716491699,47.619049072265625,10,0,10,0,8192,7676,80712,69,58,64827.006103515625,42187.75811767578,1628.843017578125,33293438976,8589930496,7140777984,1077456896
200,1774612118746,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,45,36.842105865478516,0,10,45,35,10,0,45,52.6315803527832,55,10,57.894737243652344,25,14.285715103149414,10,0,8192,7676,80588,69,52,64831.1455078125,42190.700134277344,1628.843017578125,33293438976,8589930496,7131803648,1077456896
200,1774612118946,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,10,45,0,42.105262756347656,0,36.842105865478516,0,0,45,100,45,10,45,10,36.842105865478516,0,0,8192,7676,80679,69,45,64835.12615966797,42193.48895263672,1628.843017578125,33293438976,8589930496,7132434432,1077456896
200,1774612119146,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,33.333335876464844,0,35,55,0,33.333335876464844,0,0,10.526315689086914,90.47618865966797,45,5.263157844543457,42.85714340209961,10.526315689086914,10,40,0,8192,7676,80402,69,44,64839.00958251953,42196.19805908203,1628.843017578125,33293438976,8589930496,7122485248,1077456896
200,1774612119346,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,31.57894515991211,10,42.105262756347656,47.619049072265625,55,25,28.571430206298828,0,0,40,40,20,15.000000953674316,15.000000953674316,10,35,0,8192,7676,81990,69,52,64842.878967285156,42198.90264892578,1628.843017578125,33293438976,8589930496,7135633408,1077456896
199,1774612119546,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,30.000001907348633,47.36842346191406,19.047618865966797,0,65,0,26.3157901763916,0,28.571430206298828,50,80,47.619049072265625,15.789472579956055,5,30.000001907348633,0,0,8192,7676,81095,69,58,64846.922424316406,42201.752014160156,1628.843017578125,33293438976,8589930496,7133913088,1077456896
200,1774612119746,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,10.526315689086914,20,38.095237731933594,0,45,0,4.761904716491699,0,10.526315689086914,47.36842346191406,100,47.36842346191406,50,20,30.000001907348633,30.000001907348633,0,8192,7676,81236,69,51,64851.01159667969,42204.63848876953,1628.843017578125,33293438976,8589930496,7133913088,1077456896
199,1774612119947,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,4.761904716491699,45,0,0,45,0,0,20,45,45,100,45,45,30.000001907348633,10,0,0,8192,7676,81639,69,44,64855.03845214844,42207.47186279297,1628.843017578125,33293438976,8589930496,7133913088,1077456896
200,1774612120147,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,10.526315689086914,10,42.105262756347656,42.105262756347656,45,15.000000953674316,0,0,0,0,100,35,45,10,35,30.000001907348633,0,8192,7676,80818,69,55,64858.91247558594,42210.173095703125,1628.843017578125,33293438976,8589930496,7137783808,1077456896
200,1774612120347,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,10.526315689086914,10,40,40,40,40,50,20,5,0,47.36842346191406,15.000000953674316,30.000001907348633,15.000000953674316,5,31.57894515991211,0,8192,7676,80071,69,51,64862.74969482422,42212.84326171875,1628.843017578125,33293438976,8589930496,7141654528,1077456896
199,1774612120547,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,31.81818199157715,30.000001907348633,42.105262756347656,42.105262756347656,42.105262756347656,21.052631378173828,4.761904716491699,20,100,0,0,20,42.105262756347656,15.789472579956055,10,0,0,8192,7676,79856,69,43,64866.62811279297,42215.547302246094,1628.84326171875,33293438976,8589930496,7138598912,1077456896
