Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),GPU0_MEMORY_TOTAL,GPU0_MEMORY_USED,GPU0_POWER (mWatts),GPU0_TEMPERATURE,GPU0_USAGE,PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1774612509020,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2.857142925262451,2.857142925262451,0,5.882352828979492,2.857142925262451,0,5.555555820465088,5.882352828979492,2.857142925262451,2.857142925262451,2.857142925262451,2.857142925262451,5.555555820465088,2.857142925262451,5.555555820465088,2.941176414489746,0,8192,7674,67113,70,0,71917.1304321289,47014.509338378906,1630.619384765625,33293438976,8589930496,7154790400,1067872256
200,1774612509020,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2.857142925262451,2.857142925262451,0,5.882352828979492,2.857142925262451,0,5.555555820465088,5.882352828979492,2.857142925262451,2.857142925262451,2.857142925262451,2.857142925262451,5.555555820465088,2.857142925262451,5.555555820465088,2.941176414489746,0,8192,7674,67113,70,0,71917.38037109375,47014.66278076172,1630.619384765625,33293438976,8589930496,7154790400,1067872256
200,1774612509220,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,0,0,0,20,88,0,0,0,0,0,0,0,0,0,0,0,0,8192,7674,56830,70,0,71919.55395507813,47015.8779296875,1630.62548828125,33293438976,8589930496,7179513856,1067872256
200,1774612509421,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,5,4.761904716491699,0,14.285715103149414,5.263157844543457,4.761904716491699,0,5,4.761904716491699,4.761904716491699,19.047618865966797,0,0,76.19047546386719,0,4.761904716491699,0,8192,7674,49171,70,0,71921.88299560547,47017.225524902344,1630.62548828125,33293438976,8589930496,7179657216,1067872256
200,1774612509621,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,5,45,4.761904716491699,5.263157844543457,4.761904716491699,4.761904716491699,0,4.761904716491699,52.6315803527832,0,5,4.761904716491699,5,5.263157844543457,5,0,0,8192,7676,48710,70,0,71924.21112060547,47018.57928466797,1630.62548828125,33293438976,8589930496,7179599872,1067872256
200,1774612509821,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,15.789472579956055,100,23.809524536132813,10,15.789472579956055,0,10,26.3157901763916,10,0,10,25,15.789472579956055,0,10,28.571430206298828,0,8192,7676,54259,71,77,71927.46435546875,47020.71911621094,1630.62548828125,33293438976,8589930496,7177818112,1067872256
200,1774612510021,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,20,65,30.000001907348633,40,4.761904716491699,38.095237731933594,10,20,20,65,15.789472579956055,15.000000953674316,38.095237731933594,30.000001907348633,26.3157901763916,21.052631378173828,0,8192,7676,61079,71,52,71931.57775878906,47023.611083984375,1630.62548828125,33293438976,8589930496,7177818112,1067872256
199,1774612510221,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,35,36.842105865478516,47.36842346191406,50,5,45,45,9.523809432983398,0,0,0,100,0,38.095237731933594,10,5,0,8192,7676,67749,72,46,71935.60278320313,47026.42352294922,1630.62548828125,33293438976,8589930496,7177818112,1067872256
199,1774612510421,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,26.3157901763916,28.571430206298828,45,45,10,45,10,15.789472579956055,0,0,4.761904716491699,100,36.842105865478516,30.000001907348633,20,20,0,8192,7676,74980,72,60,71939.63641357422,47029.236877441406,1630.6258544921875,33293438976,8589930496,7177187328,1067872256
199,1774612510621,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,38.095237731933594,26.3157901763916,38.095237731933594,30.000001907348633,20,73.68421173095703,20,10,4.761904716491699,0,35,50,20,30.000001907348633,5,10,0,8192,7676,81745,72,42,71943.43371582031,47031.85363769531,1630.6258544921875,33293438976,8589930496,7174868992,1067872256
200,1774612510821,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,38.095237731933594,26.3157901763916,38.095237731933594,30.000001907348633,20,73.68421173095703,20,10,4.761904716491699,0,35,50,20,30.000001907348633,5,10,0,8192,7676,80622,73,42,71947.47393798828,47034.67932128906,1630.6258544921875,33293438976,8589930496,7158091776,1067872256
