Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),GPU0_MEMORY_TOTAL,GPU0_MEMORY_USED,GPU0_POWER (mWatts),GPU0_TEMPERATURE,GPU0_USAGE,PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1774612547906,2124,2124,2124,2124,2124,2124,2124,2124,2124,2124,2124,2124,2124,2124,2124,2124,5.263157844543457,0,2.5641026496887207,2.6315789222717285,5.263157844543457,5.128205299377441,2.6315789222717285,2.6315789222717285,7.894736289978027,0,2.6315789222717285,2.6315789222717285,0,2.6315789222717285,2.6315789222717285,2.702702760696411,0,8192,4240,65351,69,0,72508.0444946289,47394.23620605469,1630.953125,33293438976,8589930496,5184659456,1067855872
200,1774612547907,2124,2124,2124,2124,2124,2124,2124,2124,2124,2124,2124,2124,2124,2124,2124,2124,5.263157844543457,0,2.5641026496887207,2.6315789222717285,5.263157844543457,5.128205299377441,2.6315789222717285,2.6315789222717285,7.894736289978027,0,2.6315789222717285,2.6315789222717285,0,2.6315789222717285,2.6315789222717285,2.702702760696411,0,8192,4240,65351,69,0,72508.30712890625,47394.38134765625,1630.953125,33293438976,8589930496,5184659456,1067855872
200,1774612548107,2124,2124,2124,2124,2124,2124,2124,2124,2124,2124,2124,2124,2124,2124,2124,2124,0,0,0,88,0,0,0,4,20.833332061767578,0,0,0,0,0,0,0,0,8192,4240,53338,68,0,72510.47271728516,47395.54626464844,1630.9600830078125,33293438976,8589930496,5205200896,1067855872
200,1774612548307,2124,2124,2124,2124,2124,2124,2124,2124,2124,2124,2124,2124,2124,2124,2124,2124,0,42.85714340209961,0,5.263157844543457,4.761904716491699,0,0,0,5.263157844543457,0,52.38095474243164,0,4.761904716491699,0,10,0,0,8192,4240,45409,68,0,72512.74230957031,47396.851806640625,1630.9600830078125,33293438976,8589930496,5209071616,1067851776
200,1774612548507,2124,2124,2124,2124,2124,2124,2124,2124,2124,2124,2124,2124,2124,2124,2124,2124,5,55,5,4.761904716491699,0,0,38.095237731933594,0,14.285715103149414,5,15.000000953674316,10,0,5,0,5,0,8192,4240,41120,68,0,72515.08612060547,47398.22540283203,1630.9617919921875,33293438976,8589930496,5209776128,1067851776
200,1774612548707,2124,2124,2124,2124,2124,2124,2124,2124,2124,2124,2124,2124,2124,2124,2124,2124,15.000000953674316,25,5,5.263157844543457,0,4.761904716491699,73.68421173095703,5,10,0,0,0,4.761904716491699,0,5,0,0,8192,4240,41016,68,0,72517.56018066406,47399.72686767578,1630.96435546875,33293438976,8589930496,5219491840,1067851776
200,1774612548907,2124,2124,2124,2124,2124,2124,2124,2124,2124,2124,2124,2124,2124,2124,2124,2124,5,0,5,4.761904716491699,0,0,0,33.333335876464844,14.285715103149414,0,0,0,66.66667175292969,0,5,0,0,8192,4240,41049,68,0,72519.77471923828,47400.971252441406,1630.96435546875,33293438976,8589930496,5363339264,1067851776
200,1774612549107,2124,2124,2124,2124,2124,2124,2124,2124,2124,2124,2124,2124,2124,2124,2124,2124,5,0,0,0,0,0,0,5,5.263157844543457,0,60.000003814697266,4.761904716491699,0,0,40,0,0,8192,4240,40942,68,0,72522.01220703125,47402.233947753906,1630.96435546875,33293438976,8589930496,5433442304,1067851776
199,1774612549308,2124,2124,2124,2124,2124,2124,2124,2124,2124,2124,2124,2124,2124,2124,2124,2124,0,0,0,5,30.000001907348633,0,5,0,5.263157844543457,65,35,0,0,0,0,0,0,8192,4415,39293,67,0,72524.265625,47403.49523925781,1630.9676513671875,33293438976,8589930496,5519548416,1067835392
200,1774612549508,2124,2124,2124,2124,2124,2124,2124,2124,2124,2124,2124,2124,2124,2124,2124,2124,0,0,0,0,23.809524536132813,0,0,4.761904716491699,9.523809432983398,95,0,0,0,0,0,4.761904716491699,0,8192,4433,37372,67,5,72526.54864501953,47404.789489746094,1630.9676513671875,33293438976,8589930496,5667119104,1067835392
